8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0037  W  37
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0038  W  38
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0039  W  39
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
003a  W  3a
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
003b  W  3b
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
003c  W  3c
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
003d  W  3d
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
003e  W  3e
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
003f  W  3f
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0040  W  40
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0041  W  41
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0042  W  42
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0043  W  43
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0044  W  44
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0045  W  45
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0046  W  46
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0047  W  47
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0048  W  48
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0049  W  49
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
004a  W  4a
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
004b  W  4b
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
004c  W  4c
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
004d  W  4d
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
