801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01bb  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  45
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ba  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  46
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b9  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  47
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b8  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  48
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b7  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  49
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b6  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  4a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b5  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  4b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b4  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  4c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b3  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  4d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b2  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  4e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b1  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  4f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01b0  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  50
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01af  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  51
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ae  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  52
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ad  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  53
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ac  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  54
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ab  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  55
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01aa  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  56
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a9  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  57
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a8  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  58
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a7  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  59
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a6  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  5a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a5  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  5b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a4  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  5c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a3  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  5d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a2  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  5e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a1  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  5f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01a0  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  60
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
019f  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  61
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
019e  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  62
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
019d  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  63
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
019c  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  64
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
019b  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  65
8022  R  d0
8023  R  f9
